서비스ID,정류소명,좌표(X),좌표(Y)
1265,청석고등학교,127.5061791,36.61717563
1264,청석고등학교,127.5063401,36.61662802
1752,청소년꿈키움센터,127.4635992,36.59957237
1751,청소년꿈키움센터,127.465881,36.5988783
2982,청송리,127.257594,36.66193698
3385,청송리,127.2572616,36.66204583
2983,청송산업단지입구,127.2555623,36.66400044
3304,청송산업단지입구,127.2551736,36.66401479
2515,청신운수,127.3936688,36.58711558
2514,청신운수,127.3938297,36.58744621
3830,청용,127.5444841,36.53971692
3831,청용2.3리,127.5446747,36.53980939
3832,청용2리,127.5411517,36.53723288
3833,청용2리,127.5412306,36.5371659
3834,청용리,127.5355858,36.53553747
3835,청용리,127.5355979,36.53543786
1253,청운중학교,127.504552,36.61740023
1255,청운중학교,127.5070276,36.61852655
1254,청운중학교,127.5071608,36.6183863
1524,청원경찰서,127.4844924,36.65164719
1525,청원경찰서,127.4842758,36.65162715
1877,청원고등학교,127.4135569,36.7151076
1878,청원고등학교,127.4133421,36.71520143
1523,청원구청,127.4873962,36.65082378
1522,청원구청,127.4868977,36.65083646
1879,청원국민체육센터,127.5407288,36.72515413
4063,청원쌍용예가 1단지 아파트,127.3642837,36.62286925
3596,청정아파트,127.3515027,36.52918889
3597,청정아파트,127.3517258,36.52913642
1918,청주고등학교,127.4556728,36.63474553
1917,청주고등학교,127.456759,36.63458638
3019,청주공항역,127.4912827,36.72021665
3020,청주공항역,127.4913063,36.72119948
1733,청주교도소,127.4774885,36.60162746
1732,청주교도소,127.4774298,36.601988
1631,청주교육대학교,127.4868044,36.6174112
1632,청주교육대학교,127.486361,36.61711247
2659,청주국제공항,127.4953254,36.72224092
3021,청주국제공항,127.496548,36.72306035
1634,청주남중학교,127.4854392,36.61387066
1633,청주남중학교,127.4863831,36.61583712
1534,청주농업고등학교,127.4859749,36.65727053
1535,청주농업고등학교,127.4862698,36.65716015
1629,청주농협,127.4878064,36.62098885
1630,청주농협,127.4874442,36.62100559
1230,청주농협용암지점,127.5144421,36.62150391
1229,청주농협용암지점,127.5141332,36.62137984
1542,청주대교,127.4858173,36.63674923
1543,청주대교,127.4870056,36.63665262
1013,청주대석우문화체육관,127.4997816,36.6640174
1014,청주대석우문화체육관,127.5005193,36.66377838
1512,청주대학교.뉴시스,127.48906,36.65074073
1511,청주대학교.뉴시스,127.4888574,36.65085033
2827,청주동남1단지,127.5207921,36.62194779
2828,청주동남1단지,127.5205953,36.62177744
1123,청주동물원,127.5206657,36.65291559
1124,청주동물원,127.5202116,36.65222254
1238,청주동중학교,127.5048457,36.6270906
1121,청주랜드관리사업소,127.5160757,36.64999692
1122,청주랜드관리사업소,127.5161148,36.64984499
1516,청주문화산업단지입구,127.4923454,36.65755922
4030,청주새활용시민센터,127.4986616,36.68246742
1409,청주성모병원,127.4836636,36.67047046
1410,청주성모병원,127.4836386,36.6710134
2508,청주성신학교.신전동,127.4019596,36.59673089
2509,청주성신학교.신전동,127.4025308,36.59686846
1911,청주세관,127.4364677,36.644129
1910,청주세관,127.4388511,36.64429661
1979,청주세무서,127.4394961,36.63780057
1980,청주세무서,127.4394507,36.63793509
2839,청주소로초등학교,127.3919007,36.67218606
2838,청주소로초등학교,127.3902595,36.66949483
1515,청주시문화산업단지정문,127.4922527,36.65767181
2049,청주시영아파트,127.4463562,36.62454913
1377,청주시장례식장,127.5459142,36.6428159
1936,청주시평생학습관,127.4533449,36.63555589
1937,청주시평생학습관,127.453304,36.63722154
1119,청주어린이회관,127.5138632,36.64904319
1120,청주어린이회관,127.5142394,36.64848931
1461,청주여자고등학교,127.4889593,36.66573116
1460,청주여자고등학교,127.4891269,36.66554959
1406,청주여자고등학교.충청매일,127.4866702,36.66597042
2322,청주역,127.3930697,36.64686952
2321,청주역,127.3937886,36.64636707
2320,청주역,127.3939273,36.64655359
1882,청주역,127.3930263,36.64614279
2635,청주역,127.3930133,36.64678185
2661,청주예술대학종점지,127.4994853,36.65846483
1880,청주예술대학종점지,127.499338,36.658692
1883,청주우체국,127.5044347,36.66303406
1701,청주우편집중국,127.4694923,36.62068306
1700,청주우편집중국,127.4694162,36.62081445
3807,청주운전면허시험장,127.566924,36.57548536
3806,청주운전면허시험장,127.5668222,36.57559668
1548,청주체육관,127.4747978,36.63556306
1547,청주체육관,127.4740673,36.63533062
1953,청주흥덕경찰서,127.4539634,36.65671917
1952,청주흥덕경찰서,127.454153,36.65654183
2595,초롱꽃유치원,127.5207229,36.60708621
2603,초롱꽃유치원,127.519933,36.60680129
4175,초정리,127.602495,36.71695054
4174,초정리,127.6023327,36.71695812
4176,초정삼거리(초정행궁),127.6002278,36.72119271
4177,초정삼거리(초정행궁),127.6002663,36.72134271
2711,초정약수기점,127.5999018,36.71849102
2709,초정약수종점,127.5998145,36.71877982
2200,초중리(증안),127.5740214,36.77713242
2734,초중리.택지개발,127.5739313,36.77728657
2576,초중리.한라비발디아파트,127.5681029,36.77407195
2746,초중리.한라비발디아파트,127.5680763,36.77425455
